Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;373;Material;985529-220/2027;Aquisição de materiais e utensílios para copa e cozinha, higiene, limpeza e descartável;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;;;;;-;0,0000;0,0000;100000,0000;0,0000;11/06/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;381;Serviço;985529-222/2027;Execução do transporte escolar;Catálogo do Compras.gov.br;Serviço;679;SERVIÇOS AUXILIARES E OUTROS SERVIÇOS DE TRANSPORTE AUXILIAR;;;;;-;0,0000;0,0000;750000,0000;0,0000;28/05/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;372;Serviço;985529-217/2027;Demanda de organização, produção e decoração para a realização do Miss Entre Rios do Oeste 2027;Catálogo do Compras.gov.br;Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;;;-;0,0000;0,0000;240000,0000;0,0000;02/06/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;379;Material;985529-203/2027;Execução de obras para instalação e implantação de muros e cercamentos;Catálogo do Compras.gov.br;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;;;;;-;0,0000;0,0000;30000,0000;0,0000;12/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;377;Serviço;985529-221/2027;Prestação de serviços visando a realização de seguro para veículos e máquinas pertencentes a frota;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;15000,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;374;Serviço;985529-221/2027;Prestação de serviços visando a realização de seguro para veículos e máquinas pertencentes a frota;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;30127;SEGURO AUTOMOTIVO;-;2,0000;1750,0000;3500,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;375;Serviço;985529-221/2027;Prestação de serviços visando a realização de seguro para veículos e máquinas pertencentes a frota;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;2000,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;378;Serviço;985529-221/2027;Prestação de serviços visando a realização de seguro para veículos e máquinas pertencentes a frota;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;8000,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;380;Material;985529-211/2027;Aquisição de materiais hidráulicos, hidrômetros, tubos e conexões;Catálogo do Compras.gov.br;Material;4510;DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS;;;;;-;0,0000;0,0000;15000,0000;0,0000;09/04/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;382;Serviço;985529-224/2027;Confecção e aquisição de camisetas;Catálogo do Compras.gov.br;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;;;;;-;0,0000;0,0000;115000,0000;0,0000;30/06/2027
